name,type,year,description,url,gender,organization,age,country,current_country
Jean Tirole,economics,2014,for his analysis of market power and regulation,https://www.nobelprize.org/nobel_prizes/economics/laureates/2014/tirole-facts.html,male,FALSE,61,France,France
Patrick Modiano,literature,2014,"for the art of memory with which he has evoked the most ungraspable human destinies and
uncovered the life-world of the occupation",https://www.nobelprize.org/nobel_prizes/literature/laureates/2014/modiano-facts.html,male,FALSE,69,France,France
Eric Betzig,chemistry,2014,for the development of super-resolved fluorescence microscopy,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/2014/betzig-facts.html,male,FALSE,54,USA,USA
Stefan W. Hell,chemistry,2014,for the development of super-resolved fluorescence microscopy,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/2014/hell-facts.html,male,FALSE,52,Romania,Romania
William E. Moerner,chemistry,2014,for the development of super-resolved fluorescence microscopy,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/2014/moerner-facts.html,male,FALSE,61,USA,USA
Isamu Akasaki,physics,2014,for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources,https://www.nobelprize.org/nobel_prizes/physics/laureates/2014/akasaki-facts.html,male,FALSE,85,Japan,Japan
Hiroshi Amano,physics,2014,for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources,https://www.nobelprize.org/nobel_prizes/physics/laureates/2014/amano-facts.html,male,FALSE,54,Japan,Japan
Shuji Nakamura,physics,2014,for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources,https://www.nobelprize.org/nobel_prizes/physics/laureates/2014/nakamura-facts.html,male,FALSE,60,Japan,Japan
John O'Keefe,medicine,2014,for their discoveries of cells that constitute a positioning system in the brain,https://www.nobelprize.org/nobel_prizes/medicine/laureates/2014/okeefe-facts.html,male,FALSE,75,USA,USA
May-Britt Moser,medicine,2014,for their discoveries of cells that constitute a positioning system in the brain,https://www.nobelprize.org/nobel_prizes/medicine/laureates/2014/may-britt-moser-facts.html,female,FALSE,51,Norway,Norway
Edvard I. Moser,medicine,2014,for their discoveries of cells that constitute a positioning system in the brain,https://www.nobelprize.org/nobel_prizes/medicine/laureates/2014/edvard-moser-facts.html,male,FALSE,52,Norway,Norway
Kailash Satyarthi,peace,2014,for their struggle against the suppression of children and young people and for the right of all children to education,https://www.nobelprize.org/nobel_prizes/peace/laureates/2014/satyarthi-facts.html,male,FALSE,60,India,India
Malala Yousafzai,peace,2014,for their struggle against the suppression of children and young people and for the right of all children to education,https://www.nobelprize.org/nobel_prizes/peace/laureates/2014/yousafzai-facts.html,female,FALSE,17,Pakistan,Pakistan
Organisation for the Prohibition of Chemical Weapons (OPCW),peace,2013,for its extensive efforts to eliminate chemical weapons,https://www.nobelprize.org/nobel_prizes/peace/laureates/2013/opcw-facts.html,org,TRUE,,,
Martin Karplus,chemistry,2013,for the development of multiscale models for complex chemical systems,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/2013/karplus-facts.html,male,FALSE,83,Austria,Austria
Michael Levitt,chemistry,2013,for the development of multiscale models for complex chemical systems,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/2013/levitt-facts.html,male,FALSE,66,South Africa,South Africa
Arieh Warshel,chemistry,2013,for the development of multiscale models for complex chemical systems,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/2013/warshel-facts.html,male,FALSE,73,British Mandate of Palestine,Israel
Francois Englert,physics,2013,"for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles, and which recently was confirmed through the discovery of the predicted fundamental particle, by the ATLAS and CMS experiments at CERN's Large Hadron Collider",https://www.nobelprize.org/nobel_prizes/physics/laureates/2013/englert-facts.html,male,FALSE,81,Belgium,Belgium
Peter W. Higgs,physics,2013,"for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles, and which recently was confirmed through the discovery of the predicted fundamental particle, by the ATLAS and CMS experiments at CERN's Large Hadron Collider",https://www.nobelprize.org/nobel_prizes/physics/laureates/2013/higgs-facts.html,male,FALSE,84,United Kingdom,United Kingdom
James E. Rothman,medicine,2013,"for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells",https://www.nobelprize.org/nobel_prizes/medicine/laureates/2013/rothman-facts.html,male,FALSE,63,USA,USA
Randy W. Schekman,medicine,2013,"for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells",https://www.nobelprize.org/nobel_prizes/medicine/laureates/2013/schekman-facts.html,male,FALSE,65,USA,USA
Thomas C. Sudhof,medicine,2013,"for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells",https://www.nobelprize.org/nobel_prizes/medicine/laureates/2013/sudhof-facts.html,male,FALSE,58,Germany,Germany
Eugene F. Fama,economics,2013,for their empirical analysis of asset prices,https://www.nobelprize.org/nobel_prizes/economics/laureates/2013/fama-facts.html,male,FALSE,74,USA,USA
Lars Peter Hansen,economics,2013,for their empirical analysis of asset prices,https://www.nobelprize.org/nobel_prizes/economics/laureates/2013/hansen-facts.html,male,FALSE,61,USA,USA
Robert J. Shiller,economics,2013,for their empirical analysis of asset prices,https://www.nobelprize.org/nobel_prizes/economics/laureates/2013/shiller-facts.html,male,FALSE,67,USA,USA
Alice Munro,literature,2013,master of the contemporary short story,https://www.nobelprize.org/nobel_prizes/literature/laureates/2013/munro-facts.html,female,FALSE,82,Canada,Canada
Serge Haroche,physics,2012,for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems,https://www.nobelprize.org/nobel_prizes/physics/laureates/2012/haroche-facts.html,male,FALSE,68,Morocco,Morocco
David J. Wineland,physics,2012,for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems,https://www.nobelprize.org/nobel_prizes/physics/laureates/2012/wineland-facts.html,male,FALSE,68,USA,USA
European Union (EU),peace,2012,"for over six decades contributed to the advancement of peace and reconciliation, democracy and human rights in Europe",https://www.nobelprize.org/nobel_prizes/peace/laureates/2012/eu-facts.html,org,TRUE,,,
Robert J. Lefkowitz,chemistry,2012,for studies of G-protein-coupled receptors,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/2012/lefkowitz-facts.html,male,FALSE,69,USA,USA
Brian K. Kobilka,chemistry,2012,for studies of G-protein-coupled receptors,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/2012/kobilka-facts.html,male,FALSE,57,USA,USA
Sir John B. Gurdon,medicine,2012,for the discovery that mature cells can be reprogrammed to become pluripotent,https://www.nobelprize.org/nobel_prizes/medicine/laureates/2012/gurdon-facts.html,male,FALSE,79,United Kingdom,United Kingdom
Shinya Yamanaka,medicine,2012,for the discovery that mature cells can be reprogrammed to become pluripotent,https://www.nobelprize.org/nobel_prizes/medicine/laureates/2012/yamanaka-facts.html,male,FALSE,50,Japan,Japan
Alvin E. Roth,economics,2012,for the theory of stable allocations and the practice of market design,https://www.nobelprize.org/nobel_prizes/economics/laureates/2012/roth-facts.html,male,FALSE,61,USA,USA
Lloyd S. Shapley,economics,2012,for the theory of stable allocations and the practice of market design,https://www.nobelprize.org/nobel_prizes/economics/laureates/2012/shapley-facts.html,male,FALSE,89,USA,USA
Mo Yan,literature,2012,"who with hallucinatory realism merges folk tales, history and the contemporary",https://www.nobelprize.org/nobel_prizes/literature/laureates/2012/yan-facts.html,male,FALSE,57,China,China
Tomas Transtromer,literature,2011,"because, through his condensed, translucent images, he gives us fresh access to reality",https://www.nobelprize.org/nobel_prizes/literature/laureates/2011/transtromer-facts.html,male,FALSE,80,Sweden,Sweden
Dan Shechtman,chemistry,2011,for the discovery of quasicrystals,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/2011/shechtman-facts.html,male,FALSE,70,British Mandate of Palestine,Israel
Saul Perlmutter,physics,2011,for the discovery of the accelerating expansion of the Universe through observations of distant supernovae,https://www.nobelprize.org/nobel_prizes/physics/laureates/2011/perlmutter-facts.html,male,FALSE,52,USA,USA
Brian P. Schmidt,physics,2011,for the discovery of the accelerating expansion of the Universe through observations of distant supernovae,https://www.nobelprize.org/nobel_prizes/physics/laureates/2011/schmidt-facts.html,male,FALSE,44,USA,USA
Adam G. Riess,physics,2011,for the discovery of the accelerating expansion of the Universe through observations of distant supernovae,https://www.nobelprize.org/nobel_prizes/physics/laureates/2011/riess-facts.html,male,FALSE,42,USA,USA
Bruce A. Beutler,medicine,2011,for their discoveries concerning the activation of innate immunityfor his discovery of the dendritic cell and its role in adaptive immunity,https://www.nobelprize.org/nobel_prizes/medicine/laureates/2011/beutler-facts.html,male,FALSE,54,USA,USA
Jules A. Hoffmann,medicine,2011,for their discoveries concerning the activation of innate immunityfor his discovery of the dendritic cell and its role in adaptive immunity,https://www.nobelprize.org/nobel_prizes/medicine/laureates/2011/hoffmann-facts.html,male,FALSE,70,Luxembourg,Luxembourg
Ralph M. Steinman,medicine,2011,for their discoveries concerning the activation of innate immunityfor his discovery of the dendritic cell and its role in adaptive immunity,https://www.nobelprize.org/nobel_prizes/medicine/laureates/2011/steinman-facts.html,male,FALSE,68,Canada,Canada
Thomas J. Sargent,economics,2011,for their empirical research on cause and effect in the macroeconomy,https://www.nobelprize.org/nobel_prizes/economics/laureates/2011/sargent-facts.html,male,FALSE,68,USA,USA
Christopher A. Sims,economics,2011,for their empirical research on cause and effect in the macroeconomy,https://www.nobelprize.org/nobel_prizes/economics/laureates/2011/sims-facts.html,male,FALSE,69,USA,USA
Ellen Johnson Sirleaf,peace,2011,for their non-violent struggle for the safety of women and for women's rights to full participation in peace-building work,https://www.nobelprize.org/nobel_prizes/peace/laureates/2011/johnson_sirleaf-facts.html,female,FALSE,73,Liberia,Liberia
Leymah Gbowee,peace,2011,for their non-violent struggle for the safety of women and for women's rights to full participation in peace-building work,https://www.nobelprize.org/nobel_prizes/peace/laureates/2011/gbowee-facts.html,female,FALSE,39,Liberia,Liberia
Tawakkol Karman,peace,2011,for their non-violent struggle for the safety of women and for women's rights to full participation in peace-building work,https://www.nobelprize.org/nobel_prizes/peace/laureates/2011/karman-facts.html,female,FALSE,32,Yemen,Yemen
Andre Geim,physics,2010,for groundbreaking experiments regarding the two-dimensional material graphene,https://www.nobelprize.org/nobel_prizes/physics/laureates/2010/geim-facts.html,male,FALSE,52,Russia,Russia
Konstantin Novoselov,physics,2010,for groundbreaking experiments regarding the two-dimensional material graphene,https://www.nobelprize.org/nobel_prizes/physics/laureates/2010/novoselov-facts.html,male,FALSE,36,Russia,Russia
Mario Vargas Llosa,literature,2010,"for his cartography of structures of power and his trenchant images of the individual's resistance, revolt, and defeat",https://www.nobelprize.org/nobel_prizes/literature/laureates/2010/vargas_llosa-facts.html,male,FALSE,74,Peru,Peru
Liu Xiaobo,peace,2010,for his long and non-violent struggle for fundamental human rights in China,https://www.nobelprize.org/nobel_prizes/peace/laureates/2010/xiaobo-facts.html,male,FALSE,55,China,China
Richard F. Heck,chemistry,2010,for palladium-catalyzed cross couplings in organic synthesis,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/2010/heck-facts.html,male,FALSE,79,USA,USA
Ei-ichi Negishi,chemistry,2010,for palladium-catalyzed cross couplings in organic synthesis,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/2010/negishi-facts.html,male,FALSE,75,China,China
Akira Suzuki,chemistry,2010,for palladium-catalyzed cross couplings in organic synthesis,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/2010/suzuki-facts.html,male,FALSE,80,Japan,Japan
Robert G. Edwards,medicine,2010,for the development of in vitro fertilization,https://www.nobelprize.org/nobel_prizes/medicine/laureates/2010/edwards-facts.html,male,FALSE,85,United Kingdom,United Kingdom
Peter A. Diamond,economics,2010,for their analysis of markets with search frictions,https://www.nobelprize.org/nobel_prizes/economics/laureates/2010/diamond-facts.html,male,FALSE,70,USA,USA
Dale T. Mortensen,economics,2010,for their analysis of markets with search frictions,https://www.nobelprize.org/nobel_prizes/economics/laureates/2010/mortensen-facts.html,male,FALSE,71,USA,USA
Christopher A. Pissarides,economics,2010,for their analysis of markets with search frictions,https://www.nobelprize.org/nobel_prizes/economics/laureates/2010/pissarides-facts.html,male,FALSE,62,Cyprus,Cyprus
Charles Kuen Kao,physics,2009,for groundbreaking achievements concerning the transmission of light in fibers for optical communicationfor the invention of an imaging semiconductor circuit - the CCD sensor,https://www.nobelprize.org/nobel_prizes/physics/laureates/2009/kao-facts.html,male,FALSE,76,China,China
Willard S. Boyle,physics,2009,for groundbreaking achievements concerning the transmission of light in fibers for optical communicationfor the invention of an imaging semiconductor circuit - the CCD sensor,https://www.nobelprize.org/nobel_prizes/physics/laureates/2009/boyle-facts.html,male,FALSE,85,Canada,Canada
George E. Smith,physics,2009,for groundbreaking achievements concerning the transmission of light in fibers for optical communicationfor the invention of an imaging semiconductor circuit - the CCD sensor,https://www.nobelprize.org/nobel_prizes/physics/laureates/2009/smith-facts.html,male,FALSE,79,USA,USA
Elinor Ostrom,economics,2009,"for her analysis of economic governance, especially the commonsfor his analysis of economic governance, especially the boundaries of the firm",https://www.nobelprize.org/nobel_prizes/economics/laureates/2009/ostrom-facts.html,female,FALSE,76,USA,USA
Oliver E. Williamson,economics,2009,"for her analysis of economic governance, especially the commonsfor his analysis of economic governance, especially the boundaries of the firm",https://www.nobelprize.org/nobel_prizes/economics/laureates/2009/williamson-facts.html,male,FALSE,77,USA,USA
Barack H. Obama,peace,2009,for his extraordinary efforts to strengthen international diplomacy and cooperation between peoples,https://www.nobelprize.org/nobel_prizes/peace/laureates/2009/obama-facts.html,male,FALSE,48,USA,USA
Venkatraman Ramakrishnan,chemistry,2009,for studies of the structure and function of the ribosome,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/2009/ramakrishnan-facts.html,male,FALSE,57,India,India
Thomas A. Steitz,chemistry,2009,for studies of the structure and function of the ribosome,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/2009/steitz-facts.html,male,FALSE,69,USA,USA
Ada E. Yonath,chemistry,2009,for studies of the structure and function of the ribosome,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/2009/yonath-facts.html,female,FALSE,70,British Mandate of Palestine,Israel
Elizabeth H. Blackburn,medicine,2009,for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase,https://www.nobelprize.org/nobel_prizes/medicine/laureates/2009/blackburn-facts.html,female,FALSE,61,Australia,Australia
Carol W. Greider,medicine,2009,for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase,https://www.nobelprize.org/nobel_prizes/medicine/laureates/2009/greider-facts.html,female,FALSE,48,USA,USA
Jack W. Szostak,medicine,2009,for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase,https://www.nobelprize.org/nobel_prizes/medicine/laureates/2009/szostak-facts.html,male,FALSE,57,United Kingdom,United Kingdom
Herta Moller,literature,2009,"who, with the concentration of poetry and the frankness of prose, depicts the landscape of the dispossessed",https://www.nobelprize.org/nobel_prizes/literature/laureates/2009/muller-facts.html,female,FALSE,56,Romania,Romania
Jean-Marie Gustave Le Clezio,literature,2008,"author of new departures, poetic adventure and sensual ecstasy, explorer of a humanity beyond and below the reigning civilization",https://www.nobelprize.org/nobel_prizes/literature/laureates/2008/clezio-facts.html,male,FALSE,68,France,France
Paul Krugman,economics,2008,for his analysis of trade patterns and location of economic activity,https://www.nobelprize.org/nobel_prizes/economics/laureates/2008/krugman-facts.html,male,FALSE,55,USA,USA
Harald zur Hausen,medicine,2008,for his discovery of human papilloma viruses causing cervical cancerfor their discovery of human immunodeficiency virus,https://www.nobelprize.org/nobel_prizes/medicine/laureates/2008/hausen-facts.html,male,FALSE,72,Germany,Germany
Francoise Barre-Sinoussi,medicine,2008,for his discovery of human papilloma viruses causing cervical cancerfor their discovery of human immunodeficiency virus,https://www.nobelprize.org/nobel_prizes/medicine/laureates/2008/barre-sinoussi-facts.html,female,FALSE,61,France,France
Luc Montagnier,medicine,2008,for his discovery of human papilloma viruses causing cervical cancerfor their discovery of human immunodeficiency virus,https://www.nobelprize.org/nobel_prizes/medicine/laureates/2008/montagnier-facts.html,male,FALSE,76,France,France
Martti Ahtisaari,peace,2008,"for his important efforts, on several continents and over more than three decades, to resolve international conflicts",https://www.nobelprize.org/nobel_prizes/peace/laureates/2008/ahtisaari-facts.html,male,FALSE,71,Finland,Finland
Osamu Shimomura,chemistry,2008,"for the discovery and development of the green fluorescent protein, GFP",https://www.nobelprize.org/nobel_prizes/chemistry/laureates/2008/shimomura-facts.html,male,FALSE,80,Japan,Japan
Martin Chalfie,chemistry,2008,"for the discovery and development of the green fluorescent protein, GFP",https://www.nobelprize.org/nobel_prizes/chemistry/laureates/2008/chalfie-facts.html,male,FALSE,61,USA,USA
Roger Y. Tsien,chemistry,2008,"for the discovery and development of the green fluorescent protein, GFP",https://www.nobelprize.org/nobel_prizes/chemistry/laureates/2008/tsien-facts.html,male,FALSE,56,USA,USA
Yoichiro Nambu,physics,2008,for the discovery of the mechanism of spontaneous broken symmetry in subatomic physicsfor the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature,https://www.nobelprize.org/nobel_prizes/physics/laureates/2008/nambu-facts.html,male,FALSE,87,Japan,Japan
Makoto Kobayashi,physics,2008,for the discovery of the mechanism of spontaneous broken symmetry in subatomic physicsfor the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature,https://www.nobelprize.org/nobel_prizes/physics/laureates/2008/kobayashi-facts.html,male,FALSE,64,Japan,Japan
Toshihide Maskawa,physics,2008,for the discovery of the mechanism of spontaneous broken symmetry in subatomic physicsfor the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature,https://www.nobelprize.org/nobel_prizes/physics/laureates/2008/maskawa-facts.html,male,FALSE,68,Japan,Japan
Leonid Hurwicz,economics,2007,for having laid the foundations of mechanism design theory,https://www.nobelprize.org/nobel_prizes/economics/laureates/2007/hurwicz-facts.html,male,FALSE,90,Russia,Russia
Eric S. Maskin,economics,2007,for having laid the foundations of mechanism design theory,https://www.nobelprize.org/nobel_prizes/economics/laureates/2007/maskin-facts.html,male,FALSE,57,USA,USA
Roger B. Myerson,economics,2007,for having laid the foundations of mechanism design theory,https://www.nobelprize.org/nobel_prizes/economics/laureates/2007/myerson-facts.html,male,FALSE,56,USA,USA
Gerhard Ertl,chemistry,2007,for his studies of chemical processes on solid surfaces,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/2007/ertl-facts.html,male,FALSE,71,Germany,Germany
Albert Fert,physics,2007,for the discovery of Giant Magnetoresistance,https://www.nobelprize.org/nobel_prizes/physics/laureates/2007/fert-facts.html,male,FALSE,69,France,France
Peter Grunberg,physics,2007,for the discovery of Giant Magnetoresistance,https://www.nobelprize.org/nobel_prizes/physics/laureates/2007/grunberg-facts.html,male,FALSE,68,Czechoslovakia,Czech Republic
Mario R. Capecchi,medicine,2007,for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells,https://www.nobelprize.org/nobel_prizes/medicine/laureates/2007/capecchi-facts.html,male,FALSE,70,Italy,Italy
Sir Martin J. Evans,medicine,2007,for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells,https://www.nobelprize.org/nobel_prizes/medicine/laureates/2007/evans-facts.html,male,FALSE,66,United Kingdom,United Kingdom
Oliver Smithies,medicine,2007,for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells,https://www.nobelprize.org/nobel_prizes/medicine/laureates/2007/smithies-facts.html,male,FALSE,82,United Kingdom,United Kingdom
Intergovernmental Panel on Climate Change (IPCC),peace,2007,"for their efforts to build up and disseminate greater knowledge about man-made climate change, and to lay the foundations for the measures that are needed to counteract such change",https://www.nobelprize.org/nobel_prizes/peace/laureates/2007/ipcc-facts.html,org,TRUE,,,
Albert Arnold (Al) Gore Jr.,peace,2007,"for their efforts to build up and disseminate greater knowledge about man-made climate change, and to lay the foundations for the measures that are needed to counteract such change",https://www.nobelprize.org/nobel_prizes/peace/laureates/2007/gore-facts.html,male,FALSE,59,USA,USA
Doris Lessing,literature,2007,"that epicist of the female experience, who with scepticism, fire and visionary power has subjected a divided civilisation to scrutiny",https://www.nobelprize.org/nobel_prizes/literature/laureates/2007/lessing-facts.html,female,FALSE,88,Persia,Iran
Edmund S. Phelps,economics,2006,for his analysis of intertemporal tradeoffs in macroeconomic policy,https://www.nobelprize.org/nobel_prizes/economics/laureates/2006/phelps-facts.html,male,FALSE,73,USA,USA
Roger D. Kornberg,chemistry,2006,for his studies of the molecular basis of eukaryotic transcription,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/2006/kornberg-facts.html,male,FALSE,59,USA,USA
Andrew Z. Fire,medicine,2006,for their discovery of RNA interference - gene silencing by double-stranded RNA,https://www.nobelprize.org/nobel_prizes/medicine/laureates/2006/fire-facts.html,male,FALSE,47,USA,USA
Craig C. Mello,medicine,2006,for their discovery of RNA interference - gene silencing by double-stranded RNA,https://www.nobelprize.org/nobel_prizes/medicine/laureates/2006/mello-facts.html,male,FALSE,46,USA,USA
John C. Mather,physics,2006,for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation,https://www.nobelprize.org/nobel_prizes/physics/laureates/2006/mather-facts.html,male,FALSE,60,USA,USA
